"CANT. DE PARTICIPANTES","FEMENINO","MASCULINO","DEPARTAMENTO","PROVINCIA","DISTRITO","CENTRO POBLADO","COMUNIDAD CAMPESINA O NATIVA","NOMBRE DEL EVENTO","TRIMESTRE"
"1","1","0","PUNO","PUNO","PUNO","ALTO PUNO","","RECTIFICACIÓN DE ACTAS REGISTRALES","IV"
"1","1","0","PUNO ","AZANGARO","ARAPA","ARAPA","","GRAFOTECNIA Y DACTILOSCOPÍA PARA REGISTRADORES CIVILES","IV"
"2","1","1","LA LIBERTAD","SÁNCHEZ CARRION","COCHORCI","ARICAPAMPA ","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","0","1","PUNO","AZÁNGARO ","ASILLO ","ASILLO","","CANCELACION DE ACTAS REGISTRALES","IV"
"1","1","0","AYACUCHO","SUCRE","SANTIAGO DE PAUCARAY","ATIHUARA","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","PUNO","CARABAYA","AYAPATA","AYAPATA","","RECTIFICACIÓN DE ACTAS REGISTRALES","IV"
"1","1","0","PUNO","CARABAYA","AYAPATA","AYAPATA",".","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","1","0","PUNO","CARABAYA","AYAPATA","AYAPATA","","GRAFOTECNIA Y DACTILOSCOPÍA PARA REGISTRADORES CIVILES","IV"
"1","1","0","PUNO","CARABAYA","AYAPATA ","AYAPATA ","","ATENCIÓN AL CIUDADANO","IV"
"1","0","1","PUNO","MELGAR","AYAVIRI","AYAVIRI","","RECTIFICACIÓN DE ACTAS REGISTRALES","IV"
"1","0","1","PUNO","MELGAR","ORURILLO","BALSAPATA","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","0","1","PUNO","MELGAR","ORURILLO","BALSAPATA","","GRAFOTECNIA Y DACTILOSCOPÍA PARA REGISTRADORES CIVILES","IV"
"1","0","1","PUNO ","EL COLLAO","PILCUYO","BARRIO PILCUYO","","REPOSICIÓN Y RECONSTITUCIÓN DE ACTAS","IV"
"2","2","0","PIURA","MORROPON","CHULUCANAS","BATANES","","INTEGRAL EN REGISTROS CIVILES","IV"
